Open,Close,Low,High,Volume,TotalPrice,NumTransactions,Mean,Timestamp
61265.600000,61260.010000,61260.010000,61292.260000,0.697400,6924467.700000,113,61278.475221,1719489121262
61248.010000,61235.280000,61230.210000,61248.010000,1.672960,13533444.330000,221,61237.304661,1719489185316
61235.290000,61242.010000,61235.280000,61247.990000,0.585230,5573488.310000,91,61247.124286,1719489264376
61242.020000,61242.910000,61242.020000,61246.580000,11.938860,9921657.660000,162,61244.800370,1719489348457
61242.910000,61250.000000,61237.990000,61250.000000,2.283130,4348365.570000,71,61244.585493,1719489479576
61249.990000,61213.760000,61213.750000,61249.990000,3.731610,14756023.680000,241,61228.314025,1719489544644
61213.750000,61191.230000,61191.230000,61213.760000,0.764050,6977146.760000,114,61203.041754,1719489607774
61191.230000,61239.990000,61191.230000,61240.000000,1.586040,12304359.130000,201,61215.717065,1719489669298
61239.990000,61234.850000,61234.850000,61284.010000,5.882300,12741879.350000,208,61259.035337,1719489739143
61267.990000,61306.010000,61267.990000,61325.990000,7.605730,21637996.010000,353,61297.439122,1719489810530
61290.010000,61258.470000,61258.470000,61296.000000,1.254940,6801149.340000,111,61271.615676,1719489877620
61254.190000,61280.010000,61240.010000,61280.010000,0.405660,6617125.630000,108,61269.681759,1719489937696
61280.040000,61250.000000,61248.680000,61338.590000,4.410770,14584112.300000,238,61277.782773,1719490013811
61260.000000,61302.670000,61260.000000,61309.990000,4.628140,16673158.570000,272,61298.377096,1719490091916
61316.800000,61369.330000,61313.910000,61375.450000,6.795500,15459700.310000,252,61348.017103,1719490152013
61380.120000,61400.010000,61368.000000,61442.000000,9.065740,21984056.930000,358,61407.980251,1719490213091
61386.100000,61440.150000,61386.100000,61499.370000,12.703810,33249041.820000,541,61458.487652,1719490286187
61458.000000,61449.830000,61426.300000,61459.060000,7.915750,9707135.250000,158,61437.564873,1719490348257
61449.830000,61407.890000,61395.450000,61457.040000,2.617570,7125402.710000,116,61425.885431,1719490416331
61406.010000,61407.740000,61390.110000,61414.220000,5.855390,8412185.460000,137,61402.813577,1719490489380
61407.740000,61379.990000,61360.000000,61407.740000,3.266820,8900502.990000,145,61382.779241,1719490549439
61386.000000,61338.440000,61338.440000,61399.990000,2.452250,7242563.730000,118,61377.658729,1719490609505
61320.010000,61320.010000,61314.010000,61337.980000,0.959710,2268980.040000,37,61323.784865,1719490678625
61320.000000,61330.000000,61313.010000,61330.000000,4.658280,8829957.730000,144,61319.150903,1719490739694
61329.990000,61399.990000,61329.990000,61400.000000,2.354360,14171646.260000,231,61349.118009,1719490808755
61400.000000,61425.770000,61392.010000,61435.820000,2.032990,5465092.890000,89,61405.538090,1719490871830
61417.070000,61386.010000,61382.590000,61439.290000,2.592430,8165959.270000,133,61398.190000,1719490932893
61384.890000,61402.010000,61360.010000,61402.010000,1.375750,12520581.210000,204,61375.398088,1719490995938
61402.170000,61402.170000,61402.170000,61418.920000,0.434780,5219537.630000,85,61406.325059,1719491058994
61392.140000,61404.010000,61390.000000,61411.990000,1.569270,6446729.420000,105,61397.423048,1719491122066
61406.360000,61380.010000,61380.000000,61406.360000,1.141530,6384396.650000,104,61388.429327,1719491188118
61380.010000,61406.000000,61380.010000,61439.990000,1.830700,5709870.560000,93,61396.457634,1719491258197
61406.010000,61410.540000,61404.000000,61426.800000,2.455970,9027733.120000,147,61413.150476,1719491346259
61424.470000,61578.220000,61424.470000,61585.810000,5.004410,17956219.570000,292,61493.902637,1719491406590
